,Capacity,D,F,I,R,S,T,Uncertainty
22,0,0.3842078458496325,2.0760255114031425,2.1308667758140776,4.80351164828641,345465.2830793588,0.0,1.9
23,10,0.20274762593556048,2.434460989459189,0.0001480887248570783,5.394271390555728,345465.0750225483,1.5709269562487442,1.9
24,20,0.1069169213393426,2.6586825162917975,7.809316556552227e-05,5.823124862115355,345464.9656651773,1.1231063885993788,1.65
25,20,0.056381566226471495,2.8000600943738045,4.118171587829291e-05,6.126561179056725,345464.90799667104,0.7865314136566206,1.4505690265253262
26,20,0.029732244782115117,2.889866620638645,2.1716829591188466e-05,6.337524103620098,345464.8775857527,0.54284076020545,1.3382415982257623
0,0,0.0,0.0,0.0,0.0,303272.0,0.0,3.0
1,0,3.260692285948237e-05,5.392749449185112e-06,0.0009152623772777849,7.419290858228796e-05,303271.9998957851,0.0,3.0
2,0,0.0002251113380755601,7.638420453333818e-05,0.00363815615356574,0.0005886585297117708,303271.99913482124,0.0,3.0
3,0,0.0006700107602013602,0.0003475941269990935,0.008234804047476408,0.0019868346694066575,303271.99697744846,0.0,3.0
4,0,0.0014266444057884785,0.001000577399494916,0.014852987729716147,0.004739057854118679,303271.9925949183,0.0,3.0
5,0,0.002542399621782227,0.0022503284008068497,0.023687908739619668,0.009357618380267291,303271.9850648892,0.0,3.0
6,0,0.004061877356818185,0.004340966748956111,1.0349677659220096,0.016406232125026194,303271.9733638275,0.0,3.0
7,0,0.09422542599493448,0.03911943979441067,0.9922676127584559,0.2603507566345448,303271.6112648104,0.0,3.0
8,0,0.14077539235647235,0.11583013795868928,1.0018016276463386,0.5010124955219623,303271.2056759618,0.0,3.0
9,0,0.1676777970799946,0.21520571370725333,1.0381833091838892,0.7475654285319778,303270.7664485115,0.0,3.0
10,0,0.1860294758390461,0.32867286544796925,1.0899428095500159,1.004936659558689,303270.2968490608,0.0,3.0
11,0,0.20099412164628092,0.45261898103891157,1.15204774331409,1.276154614750376,303269.79699548514,0.0,3.0
12,0,0.21500196793489892,0.5857495494689247,1.222454393206214,1.5634367487510965,303269.2654334732,0.0,3.0
13,0,0.2292260735977723,0.7278714459844717,1.300520541521863,1.8686963455340915,303268.69985448325,0.0,3.0
14,0,0.24426281255483018,0.879334057108369,1.3862485531187076,2.1937799662354465,303268.09741936857,0.0,3.0
15,0,0.2604446461022395,1.0407728810963481,1.4799749042937342,2.540577514903859,303267.45490535576,0.0,3.0
16,0,0.27798927461124107,1.2129942433319758,1.5822420501012817,2.9110883627074666,303266.7687501426,0.0,3.0
17,0,0.2961643065524869,1.3967249625341278,1.6757259206844417,3.3053016289467,303266.03813911503,0.0,3.0
18,0,0.31474049551461075,1.5921738711385576,1.7776995455878002,3.7231774561139934,303265.262886785,0.0,1.9
19,0,0.33430597370076987,1.7998055425642006,1.8882179303945699,4.166771211722778,303264.43974665966,0.0,1.9
20,0,0.3551493410149292,2.020360935604071,2.006439895658352,4.638093069799404,303263.5652167372,0.0,1.9
21,0,0.3773223603471798,2.2546799482531923,2.131762920422369,5.138883964160312,303262.6360380316,0.0,1.9
22,10,0.19912214864389227,2.612241762142276,0.00020600970624346993,5.737605220020587,303262.4316735311,1.617242219126041,1.9
23,10,0.10500580000599663,2.8386153617634515,8.432424796668957e-05,6.179373010890974,303262.3242690054,1.1582593879598204,1.65
24,10,0.05537446864993307,2.9821272215248964,4.842479478663219e-05,6.492957214016552,303262.2676285275,0.8152701728652356,1.447792642283138
25,10,0.029201917503229646,3.074028607728421,2.9628216502152166e-05,6.71250901712104,303262.2377579211,0.5680153227080338,1.3350230427147989
26,10,0.015400111142394774,3.133508223510771,1.9890711534279746e-05,6.865085435238785,303262.222004058,0.3939937123183351,1.2518229633451134
0,0,0.0,0.0,0.0,0.0,204686.0,0.0,3.0
1,0,1.9392812726779534e-07,2.522775428581528e-08,7.110242515865971e-06,4.278934869043331e-07,204685.9999994057,0.0,3.0
