,c1,c2,r1,r2,w,mean effectiveness,mean time until containment,mean difference in met demand,mean difference in arrival time,mean cost per death prevented
41,0.6298268766138033,0.5882480595608974,0.7266725873868014,0.36467277396745296,0.852843836871899,-0.8147635350870525,17.0,0.37976967757893376,978.11875,2062.3212711061683
42,0.645109064604798,0.07308351496841448,0.6722100353285189,0.4676589450471665,0.852843836871899,-0.7639823873416075,23.7,0.2155100327718294,535.375,2971.511213058867
43,0.4585515050457861,0.5902737503362177,0.7927457656179853,0.1036283544323448,0.7232137310722464,-0.7509388669650379,22.6,0.12385445908364645,502.5375,3466.2831954226776
44,0.6715071862687185,0.5292852969897526,0.023349399766076362,0.488205831798725,0.9937074543252126,-0.6760759332355443,23.2,0.49079135361695975,433.45,3992.920201376477
45,0.4980121245369909,0.7436936575241615,0.4284926641051504,0.1683954735502929,0.04378599102003905,-0.8130064433552459,17.4,0.22414278688651282,635.59375,3326.3548656048006
46,0.7297761833350604,0.697780841130606,0.7959051576434529,0.27854727345774083,0.04079008066419765,-0.8091879251273433,14.6,0.31581828831714953,859.36875,2644.7031387657853
47,0.6754615954941445,0.5871010137111032,0.012169757762257932,0.21203264400290198,0.9293816148498751,-0.5860897495481687,23.9,0.5962111547067035,402.35625,4721.895966002627
48,0.6734410771932917,0.7935909497253907,0.012215135066977124,0.21196343264502068,0.07792609039952364,-0.6461243927490156,23.5,0.6434342506903649,396.9875,4279.919092513385
49,0.8675988453911567,0.6010139195995057,0.8281817695482314,0.2736952301063274,0.08446542251841554,-0.7866663077292996,18.5,0.23307496440522954,721.48125,2696.708936714559
50,0.8247455608634855,0.6235981768360606,0.7366232360160782,0.26308997262146283,0.7773081584812266,-0.8282423909425571,18.2,0.3772675651292777,957.175,2079.215513866593
51,0.4946844357869349,0.5852421047124412,0.4240674683864415,0.45459548435017977,0.025611806328587117,-0.8239001508363772,13.0,0.3882861784633179,998.78125,2114.0653064038843
52,0.678258539275919,0.5895860336564638,0.05398499137867768,0.3034963436956106,0.8265695834092883,-0.7221459299148,23.9,0.45207028892334566,477.48125,3720.2875936343007
53,0.681269105612266,0.6709969118386021,0.009027958996184589,0.4562549545588907,0.06847253724085761,-0.6427511633879628,23.3,0.608189193107758,413.975,4289.245632339373
54,0.21907346915804088,0.41767344341746115,0.7366232360160782,0.24163492806181303,0.7773081584812266,-0.70477842497758,19.3,0.486355554856404,535.70625,3201.6584390665435
55,0.5033829591396703,0.7022214313464454,0.42381347912128076,0.2736952301063274,0.8477693041392327,-0.80460050864262,17.8,0.309168098377543,793.2875,2493.9536964184836
56,0.774511244485808,0.5144068134142387,0.8954962253081786,0.503903993993447,0.6996062938847661,-0.8196935793864484,15.6,0.34015835431860797,920.01875,2183.493236854926
57,0.6164963643897605,0.5481510502241398,0.22486728182565177,0.6755913139986756,0.8265429837096916,-0.7844983099558687,21.4,0.17242552944181613,642.675,2952.46577590675
58,0.34649310067170624,0.5083051736267761,0.8286399826810916,0.40667277442104893,0.04954923418874918,-0.7983428884629153,19.7,0.2525490139899812,718.19375,2486.394185819577
59,0.6754809190579365,0.5288422742520301,0.07540181943769661,0.3063581764949555,0.025301314349728987,-0.7638738401687544,23.8,0.23951929844296505,515.1,3385.428834136362
60,0.9771190180089331,0.5503501290989348,0.22810262833932965,0.514790681544271,0.054330262491464554,-0.8019487152886432,21.9,0.2251369462588771,679.4125,3071.8863285740745
61,0.4467975889869211,0.7728938381490917,0.535349564844526,0.3042307702267514,0.7186114718529251,-0.8236398558590352,20.1,0.2878147437761534,806.425,2554.3866004101947
62,0.8667084776761459,0.435661357242905,0.9065900868487047,0.4892506203894189,0.7540613704408021,-0.8272469111759166,15.9,0.37941178208791393,989.125,2090.7229505427326
63,0.8553731142219767,0.6998723764813859,0.13814586213503946,0.4609636428706965,0.8573584914757945,-0.821436405715175,15.7,0.43891814880169866,690.9375,3282.8678853506876
64,0.81554425284656,0.49707903305160406,0.7366232360160782,0.23849025349227232,0.8553240091534549,-0.8031077851774462,23.6,0.23939154863303042,694.56875,2800.1349964865376
65,0.1811854756617659,0.5870461170292909,0.876813301178564,0.8875960608782639,0.9514397438920995,-0.8001289696096834,23.4,0.26291995257919193,735.3125,2499.7795141696834
66,0.3809783862727276,0.7457165315167491,0.9638658232039398,0.1637771031368051,0.8172265313541042,-0.8186242642900338,15.5,0.23775937571826428,721.63125,3087.3544762852484
