,Capacity,D,F,I,R,S,T,Uncertainty
5,0,0.709416436,2.188248525,3.867246324,4.193233796,615367.9617,0,3
6,0,0.736554294,2.650795543,4.032169702,5.149324808,615366.1704,0,3
7,0,0.766383034,3.131607796,4.20548719,6.146331843,615364.3042,0,3
8,0,0.798463616,3.632244214,4.388405235,7.186441435,615362.3585,0,2
9,0,0.832659355,4.154091502,4.581857226,8.272094204,615360.3283,0,2
10,0,0.86897777,4.698500551,4.786677238,9.405942392,615358.2087,0,2
11,0,0.907497914,5.266852492,5.003681752,10.59083696,615355.9943,0,2
12,0,0.948337158,5.860592463,5.233709291,11.82982863,615353.6795,0,2
13,0,0.991636242,6.481248705,5.477641141,13.12617604,615351.2581,0,2
14,0,1.037552792,7.130445147,5.736413313,14.48335761,615348.7238,0,2
15,0,1.086258774,7.809911262,6.011024544,15.90508581,615346.0697,0,2
16,0,1.137937211,8.52149053,6.302469831,17.39531732,615343.2884,0,2
17,0,1.191024729,9.266754274,6.576925694,18.95406766,615340.3781,0,2
18,0,1.243672201,10.04590246,6.841612101,20.57811691,615337.3428,0,1.9
19,10,0.656287882,11.20267748,0.000501845,22.47879355,615336.6693,5.066209536,1.9
20,20,0.346089054,11.9279548,0.000276213,23.86524262,615336.3153,3.641839501,1.65
21,20,0.182508857,12.38709023,0.000157763,24.85246891,615336.1287,2.569788378,1.263375533
22,20,0.096246533,12.6807053,9.59E-05,25.54508165,615336.0302,1.793336358,1.131458317
23,20,0.050754666,12.86939759,3.71E-05,26.02341449,615335.9783,1.223801246,1.036520454
24,20,0.026764971,12.99073455,1.96E-05,26.34858526,615335.9509,0.828677113,0.973667277
25,20,0.014114237,13.06911281,1.03E-05,26.56813675,615335.9365,0.557844264,0.941027921
26,20,0.007443003,13.1199328,5.44E-06,26.7156084,615335.9289,0.373842157,0.936140504
0,0,0,0,0,0,303272,0,3
1,0,0.002535623,0.000567917,0.050182975,0.006059544,303271.9913,0,3
2,0,0.008540068,0.003975143,0.102024584,0.024435472,303271.9632,0,3
3,0,0.016597276,0.011932019,0.156843054,0.05570236,303271.9128,0,3
4,0,0.026054643,0.025515859,0.215482539,0.100689435,303271.8378,0,2
5,0,0.036633078,0.045519889,0.27857113,0.16040053,303271.7361,0,2
6,0,0.048237773,0.072624525,0.346645099,0.23597902,303271.6053,0,2
7,0,0.060865141,0.107482096,0.420194266,0.328691549,303271.443,0,2
8,0,0.074558248,0.150759082,0.499716711,0.439923478,303271.2466,0,2
9,0,0.089386901,0.203158784,0.585741371,0.571184275,303271.0133,0,2
10,0,0.105438033,0.265435043,0.678826789,0.724115513,303270.7401,0,2
11,0,0.122808896,0.338400957,0.779537913,0.90049462,303270.4238,0,2
12,0,0.141604376,0.422934288,0.888481007,1.102240175,303270.0607,0,2
13,0,0.161937905,0.51998261,1.006313881,1.331423755,303269.6471,0,2
14,0,0.183932235,0.63056904,1.133747881,1.590282625,303269.1788,0,2
15,0,0.207719767,0.755798361,1.271542002,1.881232339,303268.6514,0,2
16,0,0.233183267,0.896805539,1.415313948,2.206259976,303268.061,0,2
17,0,0.260329576,1.054633817,1.569912571,2.567415793,303267.4036,0,1.9
18,0,0.289344625,1.230426499,1.735254216,2.967295065,303266.6746,0,1.9
19,0,0.314657518,1.424141752,1.799595141,3.394939151,303265.8884,0,1.9
20,0,0.334470521,1.632040735,1.874611905,3.839538107,303265.0636,0,1.9
21,0,0.352176424,1.851826614,1.956948619,4.303231737,303264.2,0,1.9
22,0,0.369354317,2.082719365,2.045099355,4.787580194,303263.2965,0,1.9
23,10,0.194910815,2.427786821,0.000160876,5.357137278,303263.0965,1.52279437,1.9
24,10,0.102786027,2.645119308,9.44E-05,5.775355424,303262.9913,1.103495139,1.65
25,10,0.054204991,2.783727367,5.98E-05,6.076065651,303262.9359,0.788036129,1.453463449
26,10,0.028586357,2.873430194,4.19E-05,6.290121711,303262.9067,0.559776418,1.340593626
0,0,0,0,0,0,531435,0,3
1,0,1.66E-05,2.68E-06,0.000484728,3.77E-05,531434.9999,0,3
2,0,0.00013015,4.20E-05,0.002227871,0.000336114,531434.9995,0,3
3,0,0.000433709,0.000209791,0.005707166,0.001256409,531434.9981,0,3
4,0,0.001023555,0.000658161,0.011467775,0.003283486,531434.9949,0,3
5,0,0.002004132,0.001603213,0.020130467,0.007043205,531434.9889,0,3
6,0,0.003472319,0.003328315,0.031855097,0.013277979,531434.9787,0,3
7,0,0.00547902,0.006162308,0.046819401,0.022729249,531434.9629,0,3
8,0,0.008101827,0.010472741,0.065716706,0.036266133,531434.9401,0,2
9,0,0.011442512,0.016685718,0.089191834,0.054919296,531434.9084,0,2
10,0,0.015551171,0.025285983,0.116130062,0.079732984,531434.8658,0,2
11,0,0.02029931,0.036726608,0.145416395,0.111340926,531434.8109,0,2
12,0,0.025625729,0.051392032,0.17753812,0.150374237,531434.7426,0,2
13,0,0.031536044,0.069651916,0.212866581,0.197565626,531434.6594,0,2
14,0,0.038065032,0.091890059,0.251737456,0.25373235,531434.5598,0,2
15,0,0.045228254,0.118510178,0.29380803,0.319693033,531434.4423,0,2
16,0,0.053060142,0.149925051,0.339888173,0.396320836,531434.3052,0,1.9
17,0,0.061623738,0.186583248,0.390233436,0.484614658,531434.1466,0,1.9
18,0,0.070980367,0.228972602,0.445173235,0.585646714,531433.9648,0,1.9
19,0,0.081168938,0.277616746,0.504369884,0.700515342,531433.7574,0,1.9
20,0,0.092161527,0.333039921,0.567548702,0.830189584,531433.5228,0,1.9
21,0,0.103196201,0.395583816,0.6199755,0.973848931,531433.2616,0,1.9
22,0,0.114043521,0.465094544,0.676824289,1.130744948,531432.975,0,1.9
23,0,0.123902222,0.54133607,0.71260279,1.298852353,531432.6658,0,1.9
24,0,0.132575429,0.623442981,0.752135243,1.476097065,531432.3379,0,1.9
25,0,0.14092416,0.710966392,0.794652009,1.663283759,531431.9906,0,1.9
26,0,0.148487774,0.803650224,0.822693319,1.859013071,531431.6262,0,1.9
0,0,0,0,0,0,506100,0,3
1,0,0.000202982,3.36E-05,0.005698397,0.000461852,506099.9994,0,3
2,0,0.001402045,0.000475638,0.022665111,0.003666104,506099.9946,0,3
3,0,0.004175186,0.002165316,0.051333535,0.012379588,506099.9812,0,3
4,0,0.008895064,0.006235644,0.092648036,0.029542129,506099.9538,0,3
5,0,0.015860836,0.014030212,0.14785245,0.058361129,506099.9069,0,3
6,0,0.025354908,0.027076838,0.218389674,0.10237098,506099.8338,0,3
7,0,0.037665141,0.047085162,0.305834208,0.165471728,506099.7276,0,3
8,0,0.053018176,0.075941048,0.409713436,0.251787959,506099.5806,0,3
9,0,0.071403144,0.11559442,0.529026059,0.365105602,506099.3856,0,3
10,0,0.086488035,0.166570583,0.538118645,0.494087284,506099.157,0,3
11,0,0.095699351,0.225071485,0.554956536,0.626292805,506098.9155,0,1.9
12,0,0.102339307,0.288528913,0.576218067,0.763155268,506098.6622,0,1.9
13,0,0.107941564,0.355849818,0.600373323,0.905534957,506098.3972,0,1.9
14,0,0.113224856,0.426628553,0.626781955,1.054043159,506098.1202,0,1.9
15,0,0.118532388,0.500783965,0.6552058,1.209191523,506097.8306,0,1.9
16,0,0.124033905,0.578391908,0.685601051,1.371459568,506097.5276,0,1.9
17,0,0.129820868,0.65960849,0.71802873,1.541330664,506097.2104,0,1.9
18,0,0.135949784,0.744635668,0.752598787,1.719309457,506096.8782,0,1.9
19,0,0.142461996,0.833706028,0.789447021,1.905930776,506096.5299,0,1.9
20,0,0.149392224,0.927076216,0.828718221,2.101763509,506096.1646,0,1.9
21,0,0.156769397,1.02502358,0.870478466,2.307405641,506095.781,0,1.9
22,0,0.1643839,1.127789374,0.910251692,2.522918955,506095.379,0,1.9
23,0,0.172158036,1.235470198,0.952272181,2.748340355,506094.9582,0,1.9
24,0,0.180212032,1.348211687,0.996397477,2.984188925,506094.5179,0,1.9
25,0,0.188609479,1.46621502,1.042693429,3.230981619,506094.0571,0,1.9
26,10,0.099530479,1.642330327,8.30E-05,3.521516045,506093.955,0.777226025,1.9
0,0,0,0,0,0,1055964,0,3
1,0,0.002535561,0.000567909,0.050180702,0.006059406,1055963.991,0,3
2,0,0.008539179,0.003974907,0.102006412,0.024433274,1055963.963,0,3
3,0,0.016593192,0.011930372,0.156780985,0.055691169,1055963.913,0,3
4,0,0.026042743,0.025509412,0.215332266,0.100653614,1055963.838,0,3
5,0,0.036605927,0.045501427,0.278269313,0.160311473,1055963.736,0,3
6,0,0.048184444,0.072581007,0.346102381,0.23578993,1055963.606,0,3
7,0,0.060769537,0.107391955,0.419276464,0.32832889,1055963.444,0,3
8,0,0.074396874,0.150588192,0.498234802,0.439274746,1055963.248,0,3
9,0,0.089126919,0.202855093,0.583443051,0.570083725,1055963.015,0,3
10,0,0.105035605,0.264922022,0.675394066,0.722328133,1055962.743,0,3
11,0,0.122209271,0.337570472,0.774604547,0.897702385,1055962.428,0,3
12,0,0.140742561,0.421639885,0.881628322,1.098030243,1055962.068,0,3
13,0,0.160738241,0.518032868,0.997061874,1.325274661,1055961.657,0,2
14,0,0.182307417,0.627720451,1.121547307,1.581548469,1055961.194,0,2
15,0,0.205569938,0.751747543,1.255775767,1.869125812,1055960.672,0,2
16,0,0.230395677,0.89118113,1.395290648,2.189835869,1055960.089,0,2
